full_name,ram,ssd/hdd,graphics_card,display_size,price
Lenovo Yoga C640 2-In-1 I7 10Th Gen , 16GB RAM , 512GB SSD ," 13.3"" FHD X360 Touchscreen ", Lenovo Digital Pen,"NPR149,000.00"
Lenovo Yoga 6 2021 2-In-1 AMD Ryzen 7 5500U , 16GB RAM , 1TB SSD ," 13.3"" FHD X360 Touchscreen ", Lenovo Digital Pen,"NPR149,000.00"
Lenovo Legion 5 Ryzen 7 4800H , GTX 1650 , 8GB RAM , 512GB SSD , 15.6'' 120Hz Display,"NPR150,000.00"
Lenovo IdeaPad Gaming 3i 15 I7 10th Gen , GTX 1650Ti , 16GB RAM , 256GB SSD + 1TB HDD ," 15.6"" FHD 120Hz Display","NPR152,000.00"
Lenovo ThinkPad X390 I5 10th Gen , 8GB RAM , 256GB SSD ,No Graphics Card," 13.3"" FHD","NPR159,000.00"
Lenovo Legion Y545 I7 9TH GEN, 16GB RAM, 512GB SSD, 1TB HDD, GTX 1660TI,"NPR160,000.00"
Lenovo Yoga C940 I7 10TH Gen , 12GB RAM , 512GB SSD ,No Graphics Card," 13.3"" FHD 360 TouchScreen","NPR169,000.00"
Lenovo ThinkPad L13 I7 10th Gen , 16GB RAM , 512GB SSD ,No Graphics Card," 13.3"" FHD Touchscreen Display","NPR175,000.00"
Lenovo Legion 5 2021 Ryzen 7 5800H , RTX 3050Ti , 16GB RAM , 512GB SSD , 15.6'' FHD Display ,"NPR175,000.00"
Lenovo Legion 5i I7 10th Gen , GTX 1660Ti , 15.6'' 144Hz Display , 16GB RAM , 512GB SSD ,"NPR177,000.00"
Lenovo ThinkPad X1 Carbon 2020 I5 10th Gen , 8GB RAM , 256GB SSD ,No Graphics Card," 14"" FHD","NPR179,000.00"
Lenovo Yoga Slim 7i Carbon I7 11th Gen , 16GB RAM , 1TB SSD ,No Graphics Card," 13.3"" WQXGA Display","NPR185,000.00"
Lenovo Legion 5i I7 10th Gen , RTX 2060 , 16GB RAM , 512GB SSD , 15.6'' 240Hz Display ,"NPR190,000.00"
Lenovo ThinkPad L13 Yoga I7 10th Gen , 16GB RAM , 512GB SSD ,No Graphics Card," 13.3"" FHD X360 Touchscreen Display","NPR195,000.00"
Lenovo Yoga 9 2021 14ITL5 11th Gen I7-1185G7 , 16GB RAM , 512GB SSD ," 14"" FHD 360-Degree Touch Display ", Stylus,"NPR198,000.00"
Lenovo ThinkPad X1 Carbon 2020 I5 10th Gen , 16GB RAM , 512GB SSD ,No Graphics Card," 14"" FHD","NPR198,000.00"
Lenovo ThinkPad T14S I7 10th Gen , 16GB RAM , 512GB SSD ,No Graphics Card," 14"" FHD","NPR202,000.00"
Lenovo Legion 5 2021 Ryzen 7 5800H , RTX 3060 , 16GB RAM , 512GB SSD , 15.6'' 165Hz Display ,"NPR205,000.00"
Lenovo Legion Slim 7 2021 Ryzen 7 5800H , RTX 3060 , 16GB RAM , 512GB SSD , 15.6'' FHD Display ,"NPR210,000.00"
Lenovo IdeaPad Slim 9i 2021 11th Gen I7-1165G7 , 16GB RAM , 512GB SSD ,No Graphics Card," 14"" 4K Touch Display","NPR220,000.00"
Lenovo ThinkPad P14s I7 11th Gen , NVIDIA Quadro T500 , 16GB RAM , 512GB SSD ," 14"" FHD Display","NPR225,000.00"
Lenovo Legion 5 PRO 2021 Ryzen 7 5800H , RTX 3060 , 16GB RAM , 512GB SSD , 16'' WQXGA Display ,"NPR240,000.00"
Lenovo ThinkPad P15v I7 10th Gen 8-Core , NVIDIA Quadro P620 , 16GB RAM , 512GB SSD ," 15.6"" FHD Display","NPR255,000.00"
Lenovo Legion 5 PRO 2021 Ryzen 7 5800H , RTX 3070 , 32GB RAM , 2TB SSD , 16'' WQXGA Display ,"NPR290,000.00"
