full_name,ram,ssd/hdd,graphics_card,display_size,price
Dell Inspiron 5310 I7 11th Gen , 16GB RAM , 512GB SSD ,No Graphics Card," 13.3"" QHD Display","NPR145,000.00"
Dell Inspiron 7501 I5 10th Gen , 8GB RAM , 512GB SSD , Nvidia GTX 1650ti ," 15.6"" FHD Display","NPR147,000.00"
Dell Inspiron 7391 I7 10th Gen , NVIDIA MX250 , 8GB RAM , 512GB SSD , 13.3'' FHD Display,"NPR148,000.00"
Dell G5 15 SE 2020 Gaming Laptop Ryzen 7 4800H , AMD RX 5600M 6144MB , 8GB RAM , 512GB SSD ," 15.6"" FHD 144Hz Display","NPR150,000.00"
Dell Inspiron 5406 2-In-1 I7 11th Gen , 8GB RAM , 512GB SSD , NVIDIA MX350 ," 14"" FHD X360 Touch Display ","NPR153,000.00"
Dell XPS 13 7390 I7 10 GEN, 8GB RAM , 256GB SSD ,No Graphics Card, 13.3'' FHD Display,"NPR155,000.00"
Dell Inspiron 7490 I7 10th Gen , NVIDIA MX250 Graphics , 16GB RAM , 512GB SSD ," 14"" FHD Display","NPR156,000.00"
Dell G3 G3590 I7 9th Gen , NVIDIA GTX 1660Ti , 16GB RAM , 256GB SSD , 1TB HDD ,"NPR156,000.00"
Dell G5 15 G5500 2020 Gaming Laptop I7 10Th Gen , GTX 1660Ti 6GB , 16GB RAM , 512GB SSD ," 15.6"" FHD 144Hz Display","NPR159,000.00"
Dell Inspiron 7391 2-In-1 I7 10th Gen , 16GB RAM , 512GB SSD ,No Graphics Card, 13.3'' 4K 360-Degree Touch Screen Display,"NPR160,000.00"
Dell Inspiron 5410 2-In-1 I7 11th Gen , Nvidia MX350 2GB , 16GB RAM , 512GB SSD ," 14"" FHD 360 Touch Display ","NPR163,000.00"
Dell G5 15 G5500 2020 I7 10th Gen , RTX 2060 6GB , 16GB RAM , 512GB SSD ," 15.6"" FHD 144Hz Display","NPR169,000.00"
Dell G5 2021 G5511 I7 11th Gen 8 Core , RTX 3050Ti , 16GB RAM , 512GB SSD ," 15.6"" 165Hz FHD Display","NPR170,000.00"
Dell Inspiron 7300 I7 11th Gen , 16GB RAM , 1TB SSD ,No Graphics Card, 13.3'' FHD Display,"NPR185,000.00"
Dell XPS 13 7390 I7 10th Gen , 16GB RAM , 512GB SSD ,No Graphics Card, 13.3'' FHD Display,"NPR185,000.00"
Dell Inspiron 7306 2-In-1 I7 11Th Gen , 16GB RAM , 512GB SSD ,No Graphics Card, 13.3'' FHD 360-Degree Touch Screen Display,"NPR188,000.00"
Dell G5 15 G5500 2020 I7 10Th Gen , RTX 2060 6GB , 16GB RAM , 1TB SSD ," 15.6"" FHD 300Hz Display","NPR188,000.00"
Dell G5 G5510 2021 I7 10th Gen 8 Core , RTX 3060 , 16GB RAM , 512GB SSD ," 15.6"" 165Hz FHD Display","NPR190,000.00"
Dell G5 2021 G5515 Ryzen 7 5800H , RTX 3060 , 16GB RAM , 512GB SSD ," 15.6"" 165Hz FHD Display","NPR195,000.00"
Dell G5 2021 G5511 I7 11th Gen 8 Core , RTX 3060 , 16GB RAM , 512GB SSD ," 15.6"" 165Hz FHD Display","NPR195,000.00"
Dell XPS 13 7390 2-In-1 I7 10 Gen , 16GB RAM , 512GB SSD ,No Graphics Card, 13.4'' 360-Degree FHD TouchScreen Display,"NPR200,000.00"
Dell XPS 13 7390 I7 10 GEN , 16GB RAM , 512GB SSD ,No Graphics Card, 13.3'' 4K UHD Touch DISPLAY,"NPR200,000.00"
Dell XPS 13 9305 2021 I7 11th Gen , 16GB RAM , 512GB SSD ,No Graphics Card, 13.3'' FHD Display,"NPR215,000.00"
Dell XPS 13 9310 2021 I7 11 GEN , 16GB RAM , 512GB SSD ,No Graphics Card, 13.3''3.5K (3456x2160) Touchscreen OLED,"NPR255,000.00"
Dell XPS 15 9500 I7 10TH GEN, 16GB RAM, 1TB SSD, GTX 1650ti," 15.6"" FHD","NPR265,000.00"
Dell Alienware M15 R3 I7 10th Gen , RTX 2070 SUPER , 16GB RAM , 512GB SSD ," 15.6"" FHD 300Hz Display","NPR310,000.00"
