full_name,ram,ssd/hdd,graphics_card,display_size,price
Microsoft Surface Laptop Go I5 10th Gen , 8GB RAM , 128GB SSD ,No Graphics Card, 12.4” Touch Display,"NPR120,000.00"
Microsoft Surface Pro 7 I5 10th Gen , 8GB RAM , 256GB SSD ,No Graphics Card, 12.3” PixelSense Touch Display,"NPR149,000.00"
