full_name,ram,ssd/hdd,graphics_card,display_size,price
MSI GP66 Leopard 10UE I7 10th Gen 8-Core , RTX 3060 , 1TB SSD , 16GB RAM ," 15.6"" 144Hz FHD Display","NPR259,000.00"
MSI GP76 Leopard 10UE I7 10th Gen 8 Core , RTX 3060 , 16 GB RAM , 1TB SSD ," 17.3"" 144Hz FHD Display","NPR259,000.00"
MSI Summit E15 A11SCS I7 11th Gen , GTX 1650Ti , 16GB RAM , 1TB SSD ," 15.6"" 4K UHD Display","NPR259,000.00"
MSI GP66 Leopard 11UE I7 11800H 8 Core , RTX 3060 , 16GB RAM , 512GB SSD ," 15.6"" FHD 240Hz Display","NPR260,000.00"
MSI GP76 Leopard 11UE I7 11800H 8 Core , RTX 3060 , 16GB RAM , 512GB SSD ," 17.3"" QHD 165Hz Display","NPR265,000.00"
MSI Summit E16 Flip 2-In-1 I7-1195G7 , RTX 3050 , 16GB RAM , 1TB SSD ," 16.1"" QHD 120Hz Touchscreen Display","NPR275,000.00"
MSI GE75 RAIDER I7 9TH GEN, 512GB SSD, 32GB RAM, RTX 2080," 17.3"" 144Hz FHD","NPR280,000.00"
MSI GS75 STEALTH I7 9TH GEN, 16GB RAM, 1TB SSD, RTX 2070," 17.3"" FHD 144Hz","NPR280,000.00"
MSI Creator Z16 I7-11800H 8 Core , RTX 3060 , 16GB RAM , 512GB SSD ," 16.1"" QHD 120Hz Touchscreen Display","NPR285,000.00"
MSI GP66 Leopard 11UG I7 11800H 8 Core , RTX 3070, 16GB RAM , 512GB SSD ," 15.6"" FHD 240Hz Display","NPR289,000.00"
MSI GP76 Leopard 11UG I7 11800H 8 Core , RTX 3070, 16GB RAM , 512GB SSD ," 17.3"" QHD 165Hz Display","NPR295,000.00"
MSI GE66 Raider 10SF I7 10TH GEN , RTX 2070 ," 15.6"" 240Hz FHD ", 1TB SSD, 16GB RAM,"NPR306,000.00"
MSI GE76 Raider 10UG I7 10th Gen 8 Core , RTX 3070 , 2TB SSD, 16GB RAM ," 17.3"" 240Hz FHD Display","NPR320,000.00"
MSI GE76 Raider 10UH I7 10th Gen 8 Core , RTX 3070 , 32GB RAM , 2TB SSD ," 17.3"" 300Hz FHD Display","NPR350,000.00"
MSI Creator 15 A10SF I7 10th Gen , RTX 2070 MAX-Q , 32GB RAM , 1TB SSD ," 15.6"" 4K UHD Display","NPR360,000.00"
MSI GP66 Leopard 11UH I7 11800H 8 Core , RTX 3080, 16GB RAM , 1TB SSD ," 15.6"" FHD 240Hz Display","NPR368,000.00"
MSI GP76 Leopard 11UH I7 11800H 8 Core , RTX 3080, 16GB RAM , 1TB SSD ," 17.3"" QHD 240Hz Display","NPR375,000.00"
MSI GS66 Stealth 10SFS Thin I7 10TH GEN , RTX 2070 ," 15.6"" FHD 300Hz ", 32GB RAM , 1TB SSD,"NPR386,000.00"
MSI CREATOR 15 A10SFS I7 10TH GEN , RTX 2070 SUPER MAX-Q ," 15.6"" 4K UHD Display ", 32GB RAM, 1TB SSD,"NPR418,000.00"
