full_name,ram,ssd/hdd,graphics_card,display_size,price
Asus TUF F15 2021 FX506HE I5 11Th Gen , RTX 3050TI , 16GB RAM , 512GB SSD ," 15.6"" FHD 144Hz Display","NPR162,000.00"
Asus ZenBook 13 UX325EA I7 11th Gen , 16GB RAM , 512GB SSD , Magic NumPad ," 13.3"" FHD OLED Display","NPR162,000.00"
Asus TUF F15 2021 FX506HCB I7 11Th Gen 8 Core , RTX 3050 , 16GB RAM , 512GB SSD ," 15.6"" FHD 144Hz Display","NPR163,000.00"
Asus TUF A15 FA506LH Gaming Laptop Ryzen 7 4800H, 16GB RAM, 512GB SSD, RTX 3050," 15.6"" FHD 144Hz","NPR164,000.00"
Asus TUF A15 FA506IU Gaming Laptop Ryzen 7 4800H, 8GB RAM, 512GB SSD, GTX 1660Ti," 15.6"" FHD 144Hz","NPR165,000.00"
Asus TUF A17 FA706IU Gaming Laptop Ryzen 7 4800H, 8GB RAM, 512GB SSD, GTX 1660Ti," 17.3"" FHD 144Hz","NPR167,000.00"
Asus ROG Strix G15 G512LI I7 10TH GEN 8 CORE , GTX 1650TI ," 15.6"" FHD 144Hz ", 16GB RAM, 512GB SSD,"NPR168,800.00"
Asus TUF F15 2021 FX506HEB I7 11Th Gen 8 Core , RTX 3050Ti , 16GB RAM , 512GB SSD ," 15.6"" FHD 144Hz Display","NPR172,000.00"
Asus ROG Strix G15 2021 G513IE Ryzen 7 4800H , RTX 3050TI , 16GB RAM , 512GB SSD ," 15.6"" FHD 144Hz Display","NPR175,000.00"
Asus ZenBook Flip 13 UX363EA I7 11th Gen , 16GB RAM , 512GB SSD ," 13.3"" OLED FHD Touch Display ", Magic NumPad ,"NPR175,000.00"
Asus Zephyrus G14 2021 GA401QH Ryzen 7 5800HS , GTX 1650, 16GB RAM , 512GB SSD ," 14"" FHD 144Hz Display","NPR178,000.00"
Asus ZenBook 14 UX435EG I7 11th Gen , MX450 , 16GB RAM , 512GB SSD , ScreenPad ,"NPR182,000.00"
Asus TUF Dash F15 FX516PM I5 11Th Gen , RTX 3060 , 8GB RAM , 512GB SSD ," 15.6"" FHD 144Hz Display","NPR183,000.00"
Asus TUF Dash F15 FX516PE I7 11th Gen , RTX 3050ti , 16GB RAM , 1TB SSD ," 15.6"" FHD 144Hz Display","NPR185,000.00"
Asus ROG Strix G15 G512LU I7 10Th Gen , 16GB RAM, 1TB SSD , GTX 1660TI ," 15.6"" FHD 240Hz Display","NPR186,000.00"
Asus VivoBook Pro 14X OLED M7400QC Ryzen 7 5800H , RTX 3050 , 16GB RAM , 1TB SSD ," 15.6"" OLED Display","NPR194,000.00"
Asus TUF A15 2021 FA506QM Ryzen 7 5800H , RTX 3060 , 16GB RAM , 1TB SSD ," 15.6"" FHD 144Hz Display","NPR195,000.00"
Asus Zephyrus G14 GA401IU Ryzen 7 4800HS , GTX 1660Ti , 16GB RAM , 512GB SSD ," 14"" FHD 120Hz Display ","NPR200,000.00"
Asus Zephyrus G14 2021 GA401QE Ryzen 7 5800HS , RTX 3050ti , 16GB RAM , 1TB SSD ," 14"" FHD 144Hz Display ","NPR205,000.00"
Asus TUF Dash F15 FX516PM I7 11th Gen , RTX 3060 , 16GB RAM , 512GB SSD ," 15.6"" FHD 144Hz Display","NPR205,000.00"
Asus ROG Strix G15 2021 G513QE Ryzen 7 5800H , RTX 3050Ti , 16GB RAM , 512GB SSD ," 15.6"" FHD 144Hz Display","NPR210,000.00"
ASUS ZenBook Flip 15 UX564EH I7 11TH GEN, 16GB RAM, 1TB SSD, GTX 1650 ," 15.6"" 2-1 FHD Touchscreen","NPR216,000.00"
Asus Zephyrus G14 GA401IV Ryzen 9 4900HS , RTX 2060 , 16GB RAM , 1TB SSD ," 14"" FHD 120Hz Display ","NPR220,000.00"
Asus ROG Zephyrus G15 2021 GA503QE Ryzen 9 5900HX , RTX 3050Ti , 16GB RAM , 1TB SSD ," 15.6"" FHD 144Hz Display","NPR227,000.00"
Asus Zephyrus G14 2021 GA401QM Ryzen 9 5900HS , RTX 3060 , 16GB RAM , 512GB SSD ," 14"" FHD 144Hz Display","NPR237,000.00"
ASUS ZENBOOK DUO UX482EG I7 11TH GEN, 16GB RAM, 1TB SSD, MX450 , STYLUS,"NPR237,000.00"
Asus ROG FLOW X13 GV301QE 2021 Ryzen 9 5900HS , RTX 3050Ti , 16GB RAM , 1TB SSD ," 13.4"" WUXGA 120Hz TouchScreen Display","NPR238,000.00"
Asus ROG Zephyrus M16 GU603HE I7 11th Gen , RTX 3050TI , 16GB RAM , 512GB SSD ," 16"" WQXGA Display 144Hz Display","NPR242,000.00"
Asus ROG Strix Scar 15 2020 G532LV I7 10th Gen , RTX 2060 , 16GB RAM , 1TB SSD , Magic NumPad ,"NPR244,000.00"
Asus Zephyrus G14 2021 GA401QM Ryzen 9 5900HS , RTX 3060 , 16GB RAM , 1TB SSD ," 14"" FHD 144Hz Display","NPR247,000.00"
Asus ROG Strix G15 2021 G513QM Ryzen 9 5900HX , RTX 3060 , 16GB RAM , 1TB SSD ," 15.6"" QHD 165Hz Display","NPR255,000.00"
Asus ROG Zephyrus G15 2021 GA503QM Ryzen 9 5900HX , RTX 3060 , 16GB RAM , 1TB SSD ," 15.6"" WQHD 165Hz Display","NPR265,000.00"
Asus TUF Dash F15 FX516PR I7 11th Gen , RTX 3070 , 16GB RAM , 1TB SSD ," 15.6"" FHD 240Hz Display","NPR278,000.00"
Asus ROG Strix Scar 15 2021 G533QM Ryzen 9 5900HX , RTX 3060 , 16GB RAM , 1TB SSD ," 15.6"" FHD 300Hz Display","NPR288,000.00"
Asus ROG Zephyrus M16 GU603HM I9 11th Gen , RTX 3060 , 32GB RAM , 1TB SSD ," 16"" WQXGA Display 144Hz Display","NPR311,000.00"
Asus ROG Strix Scar 15 2021 G533QR Ryzen 9 5900HX , RTX 3070 , 16GB RAM , 1TB SSD ," 15.6"" FHD 300Hz Display","NPR361,000.00"
Asus ROG Zephyrus Duo 15 SE GX551QM AMD Ryzen 7 5800H , RTX 3060 , 16GB RAM , 512GB SSD ," 15.6"" FHD 120Hz + 14"" ScreenPad Plus","NPR372,000.00"
Asus ROG Strix Scar 15 2021 G533QS - Ryzen 9 5900HX , RTX 3080 , 16GB RAM , 1TB SSD ," 15.6"" FHD 300Hz Display","NPR410,000.00"
Asus ZenBook Pro Duo UX582LR I9 10th Gen , 32GB RAM , 1TB SSD , RTX 3070 ," 15.6"" 4K OLED Touch Display + 14"" 4K OLED ScreenPad Plus","NPR488,000.00"
Asus ROG Zephyrus Duo 15 SE GX551 AMD Ryzen 9 5900HX , RTX 3080 , 32GB RAM , 1TB SSD ," 15.6"" FHD Touch + 14"" FHD Touch ","NPR494,000.00"
