full_name,ram,ssd/hdd,graphics_card,display_size,price
HP ProBook 11 G3 EE X360 2-In-1 Celeron Dual-Core , 4GB RAM , 128GB SSD,No Graphics Card," 11.6"" 360 Touch Display","NPR47,000.00"
HP Notebook 14-CF3065TU I3 10th Gen , 4GB RAM , 1TB HDD ,No Graphics Card," 14"" HD Display","NPR59,000.00"
HP Notebook 14-DK1025WM Ryzen 3 3300U , 8GB RAM , 256GB SSD ,No Graphics Card," 14"" HD Display","NPR60,000.00"
HP Notebook 14-FQ1051AU Ryzen 3 5300U , 4GB RAM , 256GB SSD ,No Graphics Card," 14"" FHD Display","NPR65,000.00"
HP Pavilion X360 I3 10th Gen , 8GB RAM , 128GB SSD ,No Graphics Card," 14"" HD Touch Screen Display","NPR72,000.00"
HP Notebook 15-EF2127 Ryzen 5 5500U , 8GB RAM , 256GB SSD ,No Graphics Card," 15.6"" FHD Display","NPR78,000.00"
HP Notebook 14-DQ1059 I5 10th Gen , 8GB RAM , 256GB SSD ,No Graphics Card," 14"" HD Display","NPR79,000.00"
HP Notebook 15s-EQ2115AU Ryzen 5 5500U , 8GB RAM , 512GB SSD ,No Graphics Card," 15.6"" FHD Display","NPR82,000.00"
HP Notebook 14-CE3056TX I5 10th Gen , NVIDIA MX130 , 4GB RAM , 1TB HDD ," 14"" FHD Display","NPR89,000.00"
HP Pavilion 14-DV0010 2021 I5 11th Gen , 8GB RAM , 256GB SSD ,No Graphics Card," 14"" FHD Display","NPR93,000.00"
HP Notebook 15s-Du3507TX I5-1135G7 , NVIDIA MX350 , 8GB RAM , 512GB SSD ,"15.6"" FHD Display","NPR99,000.00"
HP Pavilion Power 15 2020 I5 10300H , GTX 1650 , 8GB RAM , 256GB SSD ," 15.6"" FHD Display","NPR102,000.00"
HP Laptop 15s-Du2045TX I7 10th Gen , NVIDIA MX330 2GB , 8GB RAM , 1TB HDD ," 15.6"" FHD Display","NPR105,000.00"
HP Pavilion 15-EH1070 Ryzen 7 5700U , AMD VEGA 8 , 8GB RAM , 512GB SSD ," 15.6"" FHD Display","NPR109,000.00"
HP Pavilion X360 2021 I5 11th Gen , 8GB RAM , 256GB SSD ,No Graphics Card," 14"" FHD TouchScreen Display","NPR111,000.00"
HP Pavilion 15-EF1013 Ryzen 7 4700U , AMD Vega 8 , 8GB RAM , 512GB SSD ," 15.6"" FHD Touch Display","NPR112,000.00"
HP Pavilion Power 15 2020 I5 10300H , GTX 1650ti , 8GB RAM , 512GB SSD ," 15.6"" FHD Display","NPR115,000.00"
HP Envy 13 2021 I5 11th Gen , 8GB RAM , 256GB SSD ,No Graphics Card," 13.3"" FHD Display","NPR115,000.00"
HP Envy X360 13M I5 11th Gen , 8GB RAM , 256GB SSD ,No Graphics Card," 13.3"" FHD 360 TouchScreen Display","NPR118,000.00"
HP Victus 16 2021 Ryzen 5 5600H , AMD Radeon™ RX 5500M 4096MB , 8GB RAM , 256GB SSD ," 15.6"" FHD Display","NPR125,000.00"
HP Pavilion Power 15 2020 I5 10300H , GTX 1660ti , 8GB RAM , 512GB SSD ," 15.6"" 144Hz FHD Display","NPR135,000.00"
HP Spectre 13 X360 I5 10th Gen , 8GB RAM , 256GB SSD , Stylus ," 13.3"" FHD 360 TouchScreen","NPR142,000.00"
HP Envy 13 2020 I7 10th Gen , 8GB RAM , 512GB SSD ,No Graphics Card," 13.3"" 4K UHD TouchScreen Display","NPR148,000.00"
HP Envy X360 13M I7 11th Gen , 8GB RAM , 512GB SSD ,No Graphics Card," 13.3"" OLED 360 TouchScreen Display","NPR149,000.00"
HP Omen 15 2020 Ryzen 7 4800H , GTX 1660Ti , 8GB RAM, 512GGB SSD ," 15.6"" FHD144Hz Display","NPR160,000.00"
HP Omen 16 2021 Ryzen 7 5800H , RTX 3050Ti , 16GB RAM, 512GB SSD ," 16.1"" FHD144Hz Display","NPR175,000.00"
HP Spectre 13 I7 10TH GEN, 8GB RAM, 512GB SSD, STYLUS," 13.3"" FHD 360 TOUCH","NPR185,000.00"
HP Omen 16 2021 I7 11800H 8 Core , RTX 3060 , 16GB RAM , 512GGB SSD ," 16.1"" QHD 165Hz Display","NPR199,000.00"
HP Spectre 15 X360 I7 10TH GEN, 16GB RAM, 512GB SSD, MX 250," 15.6"" 4K 360","NPR225,000.00"
