full_name,ram,ssd/hdd,graphics_card,display_size,price
Acer Swift X Pro 2021 Ryzen 7 5800U , NVIDIA RTX 3050Ti , 16GB RAM , 512GB SSD ," 14"" FHD Display","NPR153,000.00"
Acer Nitro 5 2021 Intel I5 10Th Gen , RTX 3060 , 8GB RAM , 512 SSD ," 15.6"" FHD 144Hz Display","NPR155,000.00"
Acer Nitro 5 2021 AMD Ryzen 5 5600H , RTX 3060 , 8GB RAM , 512 SSD ," 15.6"" FHD 144Hz Display","NPR155,000.00"
Acer Nitro 5 2020 I7 10TH GEN , GTX 1660ti ," 15.6"" FHD 144Hz ", 16GB RAM , 512GB SSD,"NPR160,000.00"
Acer Predator Helios 300 2021 I5 10th Gen , RTX 3060 , 8GB RAM , 512GB SSD ," 15.6"" FHD 144Hz Display","NPR165,000.00"
Acer Nitro 5 2020 I7 10TH GEN , RTX 3060 , 512GB SSD , 8GB RAM," 15.6"" FHD 144hz","NPR169,000.00"
Acer Nitro 5 2021 AMD Ryzen 7 5800H , RTX 3060 , 16GB RAM , 512 SSD ," 15.6"" FHD 144Hz Display","NPR170,000.00"
Acer Predator Triton 300 SE 2021 I7 11TH GEN , RTX 3050Ti , 16GB RAM, 512GB SSD ," 14"" FHD 144Hz Display","NPR175,000.00"
Acer Predator Triton 300 2020 I7 10TH GEN , RTX 2060 ," 15.6"" FHD 120Hz ", 16GB RAM, 512GB SSD,"NPR180,000.00"
Acer Predator Helios 300 2021 I5 11th Gen , RTX 3060 , 16GB RAM , 512GB SSD ," 15.6"" QHD 165Hz Display","NPR185,000.00"
Acer Predator Helios 300 2020 I7 10th Gen , 16GB RAM , 1TB SSD , RTX 3060 ," 15.6"" FHD 144Hz","NPR189,000.00"
Acer Predator Helios 300 2021 I7 11th Gen 8 Core , 16GB RAM , 1TB SSD , RTX 3050Ti ," 15.6"" QHD 165Hz Display","NPR190,000.00"
Acer Nitro 5 2021 AMD Ryzen 7 5800H , RTX 3070 , 8GB RAM , 1TB SSD ," 15.6"" FHD 144Hz Display","NPR210,000.00"
Acer Predator Helios 300 2021 I7 11th Gen 8 Core , RTX 3060 , 16GB RAM , 1TB SSD ," 15.6"" QHD 165Hz Display","NPR215,000.00"
Acer Predator Triton 300 SE 2021 I7 11TH GEN , RTX 3060 , 16GB RAM, 512GB SSD ," 14"" FHD 144Hz Display","NPR225,000.00"
Acer Predator Triton 500 2020 I7 10TH GEN , RTX 2070 ," 15.6"" FHD 144Hz ", 16GB RAM, 512GB SSD,"NPR235,000.00"
Acer Predator Helios 300 2021 I7 11th Gen 8 Core , RTX 3070 , 16GB RAM , 1TB SSD ," 15.6"" QHD 165Hz Display","NPR240,000.00"
